"Symbol","Company name","Listing date","Sector","Market Cap"
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Basic Industries",27299870
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Technology",183270390
"JAT","JATCORP LIMITED","2008-01-30","Retailing",30757497
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing",30688081
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing",5577587711
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Technology",18715576
"JDR","JADAR RESOURCES LIMITED","1994-12-07","Basic Industries",17093618
"JHC","JAPARA HEALTHCARE LIMITED","2014-04-17","Health Care",295308297
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Finance",10059510570
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Basic Industries",19212060502
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services",899262101
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods",947940779
"JMS","JUPITER MINES LIMITED.","2018-04-18","Basic Industries",568107400
"JNO","JUNO MINERALS LIMITED","2021-05-14","Basic Industries",22515570
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy",5368219
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Basic Industries",153269382
"JRV","JERVOIS MINING LIMITED","1980-12-01","Basic Industries",465328797
"JTL","JAYEX HEALTHCARE LIMITED",,,6443617
"JXT","JAXSTA LTD","2010-09-21","Technology",16850984
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing",68752573
"K2F","K2FLY LIMITED","2008-02-19","Technology",45946613
"KAI","KAIROS MINERALS LIMITED","1973-05-30","Basic Industries",55323496
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","2007-11-29","Finance",18322475
"KAR","KAROON ENERGY LTD","2004-06-08","Energy",680985100
"KAT","KATANA CAPITAL LIMITED","2005-12-23","Miscellaneous",36674221
"KAU","KAISER REEF LIMITED","2020-02-28","Basic Industries",33895169
"KBC","KEYBRIDGE CAPITAL LIMITED","1999-12-23","Finance",14820122
"KCC","KINCORA COPPER LIMITED","2021-03-30","Basic Industries",38627849
"KCN","KINGSGATE CONSOLIDATED LIMITED.","1988-04-21","Basic Industries",203603346
"KEY","KEY PETROLEUM LIMITED","2007-04-26","Energy",5903784
"KFE","KOGI IRON LIMITED","1987-01-16","Basic Industries",14395357
"KFM","KINGFISHER MINING LTD","2020-12-11","Basic Industries",9295000
"KGD","KULA GOLD LIMITED","2010-11-16","Basic Industries",6987850
"KGL","KGL RESOURCES LIMITED","2005-03-17","Basic Industries",274620508
"KGM","KALNORTH GOLD MINES LIMITED","2005-01-20","Basic Industries","N/A"
"KGN","KOGAN.COM LTD","2016-07-07","Retailing",1085188006
"KIN","KIN MINING NL","2013-10-02","Basic Industries",107890966
"KIS","KING ISLAND SCHEELITE LIMITED","1967-09-21","Basic Industries",100082562
"KKC","KKR CREDIT INCOME FUND","2019-11-21","Miscellaneous",832500000
"KKL","KOLLAKORN CORPORATION LIMITED","1993-02-11","Technology","N/A"
"KKO","KINETIKO ENERGY LTD","2011-07-21","Energy",70580485
"KLA","KIRKLAND LAKE GOLD LTD","2017-11-30","Basic Industries",11764848511
"KLL","KALIUM LAKES LIMITED","2016-12-22","Basic Industries",167832270
"KLO","KINGSLAND GLOBAL LTD","2015-12-11","Real Estate",15390000
"KLR","KAILI RESOURCES LIMITED","1997-03-06","Energy",3685009
"KMD","KATHMANDU HOLDINGS LIMITED","2009-11-13","Retailing",1052867055
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","2003-08-15","Consumer Services",68407324
"KMT","KOPORE METALS LIMITED","2011-07-01","Basic Industries",18716278
"KNH","KOON HOLDINGS LIMITED","2003-07-11","Capital Goods","N/A"
"KNM","KNEOMEDIA LIMITED","1987-06-24","Consumer Services",5929480
"KNO","KNOSYS LIMITED","2015-09-09","Technology",25905268
"KOR","KORAB RESOURCES LIMITED","2005-08-31","Basic Industries",3989916
"KOV","KORVEST LTD","1970-09-17","Capital Goods",54668999
"KP2","KORE POTASH PLC","2017-11-07","Basic Industries",57321003
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","2017-06-21","Consumer Services",110700000
"KPO","KALINA POWER LIMITED","1971-08-02","Utilities",45745193
"KPT","KANGAROO ISLAND PLANTATION TIMBERS LTD","2002-07-08","Basic Industries",67979491
"KRM","KINGSROSE MINING LIMITED","2007-12-07","Basic Industries",41610419
"KRR","KING RIVER RESOURCES LIMITED","2007-09-21","Basic Industries",49712798
"KSC","K & S CORPORATION LIMITED","1971-08-25","Transportation",237609124
"KSL","KINA SECURITIES LIMITED","2015-07-30","Finance",285501221
"KSN","KINGSTON RESOURCES LIMITED","1987-03-05","Basic Industries",66678182
"KSS","KLEOS SPACE S.A","2018-08-24","Consumer Services",145785127
"KTA","KRAKATOA RESOURCES LIMITED","2012-12-28","Basic Industries",15063300
"KTD","KEYTONE DAIRY CORPORATION LIMITED","2018-07-18","Food, Beverage & Tobacco",36868025
"KTE","K2 ENERGY LIMITED.","2004-07-02","Semiconductors & Semiconductor Equipment",6013143
"KTG","K-TIG LIMITED","2012-11-01","Capital Goods",76100067
"KWR","KINGWEST RESOURCES LIMITED","2018-08-24","Basic Industries",16288192
"KYK","KYCKR LIMITED","2016-09-07","Technology",14785544
"KZA","KAZIA THERAPEUTICS LIMITED","1994-09-01","Health Care",163701978
"KZR","KALAMAZOO RESOURCES LIMITED","2017-01-16","Basic Industries",59373645
"LAM","LARAMIDE RESOURCES LTD","2013-04-30","Energy",103712438
"LAU","LINDSAY AUSTRALIA LIMITED","1994-07-05","Transportation",105045321
"LAW","LAWFINANCE LIMITED","2000-05-12","Finance",47771172
"LBL","LASERBOND LIMITED","2007-12-17","Capital Goods",81647101
"LBT","LBT INNOVATIONS LIMITED","2006-07-31","Health Care",26020365
"LBY","LAYBUY GROUP HOLDINGS LIMITED","2020-09-07","Technology",144454725
"LCD","LATITUDE CONSOLIDATED LIMITED","1999-12-21","Basic Industries",57450333
"LCE","LONDON CITY EQUITIES LIMITED","1987-03-06","Finance",13000964
"LCK","LEIGH CREEK ENERGY LIMITED","2005-03-17","Energy",171015267
"LCL","LOS CERROS LIMITED","2007-10-02","Basic Industries",80404050
"LCT","LIVING CELL TECHNOLOGIES LIMITED","2004-09-01","Health Care",6285851
"LCY","LEGACY IRON ORE LIMITED","2008-07-08","Basic Industries",96071078
"LDR","LODE RESOURCES LTD",,"Basic Industries",0
"LEG","LEGEND MINING LIMITED","1995-08-25","Basic Industries",316840608
"LEL","LITHIUM ENERGY LIMITED","2021-05-19","Basic Industries",33604200
"LEP","ALE PROPERTY GROUP","2003-11-12","Real Estate",891813477
"LER","LEAF RESOURCES LTD","1999-01-05","Basic Industries",143119080
"LEX","LEFROY EXPLORATION LIMITED","1991-09-05","Basic Industries",162013050
"LFG","LIBERTY FINANCIAL GROUP","2020-12-15","Finance",2252712000
"LFS","LATITUDE GROUP HOLDINGS LIMITED","2021-04-20","Finance",2500000000
"LGL","LYNCH GROUP HOLDINGS LIMITED","2021-04-06","Food, Beverage & Tobacco",439438003
"LGP","LITTLE GREEN PHARMA LTD","2020-02-20","Health Care",134837723
"LHB","LIONHUB GROUP LIMITED","2006-10-25","Real Estate","N/A"
"LHM","LAND & HOMES GROUP LIMITED","2004-10-05","Real Estate",9444504
"LIC","LIFESTYLE COMMUNITIES LIMITED","1998-12-15","Real Estate",1535767974
"LIN","LINDIAN RESOURCES LIMITED","2000-03-02","Basic Industries",15286651
"LIO","LION ENERGY LIMITED","1972-02-15","Energy",13833104
"LIT","LITHIUM AUSTRALIA NL","2007-10-30","Basic Industries",99591681
"LITCF","LITHIUM AUSTRALIA NL","2007-10-30","Basic Industries",99591681
"LKE","LAKE RESOURCES N.L.","2001-08-29","Basic Industries",256616043
"LKO","LAKES BLUE ENERGY NL","1985-12-05","Energy","N/A"
"LLC","LENDLEASE GROUP","1962-06-30","Real Estate",8462716422
"LLO","LION ONE METALS LIMITED","2013-06-07","Basic Industries",214603333
"LME","LIMEADE, INC.","2019-12-20","Technology",153866269
"LMG","LATROBE MAGNESIUM LIMITED","1986-12-18","Basic Industries",23649071
"LML","LINCOLN MINERALS LIMITED","2007-03-09","Basic Industries","N/A"
"LNK","LINK ADMINISTRATION HOLDINGS LIMITED","2015-10-27","Technology",2724028954
"LNU","LINIUS TECHNOLOGIES LIMITED","2011-07-26","Technology",37603202
"LNY","LANEWAY RESOURCES LTD","1987-04-02","Basic Industries",18875330
"LOM","LUCAPA DIAMOND COMPANY LIMITED","2006-12-19","Basic Industries",41658779
"LOT","LOTUS RESOURCES LIMITED","2009-02-18","Basic Industries",190528341
"LOV","LOVISA HOLDINGS LIMITED","2014-12-18","Retailing",1522703184
"LPD","LEPIDICO LTD","1994-04-19","Basic Industries",67442438
"LPE","LOCALITY PLANNING ENERGY HOLDINGS LIMITED","2011-10-11","Utilities",15092337
"LPI","LITHIUM POWER INTERNATIONAL LIMITED","2016-06-24","Basic Industries",61720895
"LRK","LARK DISTILLING CO. LTD","2003-11-12","Food, Beverage & Tobacco",182901115
"LRS","LATIN RESOURCES LIMITED","2010-09-21","Basic Industries",95799293
"LRT","LOWELL RESOURCES FUND","2018-03-22","Miscellaneous",47685672
"LSA","LACHLAN STAR LIMITED","1971-07-28","Basic Industries",36873869
"LSF","L1 LONG SHORT FUND LIMITED","2018-04-24","Miscellaneous",1451428749
"LSH","LIFESPOT HEALTH LTD","2017-01-11","Health Care",16846696
"LSR","LODESTAR MINERALS LIMITED","2007-12-21","Basic Industries",12909373
"LSX","LION SELECTION GROUP LIMITED.","2013-03-13","Miscellaneous",67563572
"LTR","LIONTOWN RESOURCES LIMITED","2006-12-27","Basic Industries",1009606039
"LV1","LIVE VERDURE LTD","2020-12-14","Food, Beverage & Tobacco",11878170
"LVE","LOVE GROUP GLOBAL LTD","2014-12-05","Technology",3972349
"LVH","LIVEHIRE LIMITED","2016-06-10","Technology",105858755
"LVT","LIVETILES LIMITED","1999-08-17","Technology",164230093
"LYC","LYNAS RARE EARTHS LIMITED","1986-09-11","Basic Industries",4973953756
"LYL","LYCOPODIUM LIMITED","2004-12-17","Capital Goods",212610209
"M24","MAMBA EXPLORATION LIMITED","2021-02-05","Class Pend",16160585
"M2R","MIRAMAR RESOURCES LIMITED","2020-10-22","Class Pend",11012020
"M7T","MACH7 TECHNOLOGIES LIMITED","2005-11-30","Health Care",249790113
"M8S","M8 SUSTAINABLE LIMITED","2019-12-11","Consumer Services",7230125
"MA1","MONASH ABSOLUTE INVESTMENT COMPANY LIMITED","2016-04-12","Miscellaneous","N/A"
"MAD","MADER GROUP LIMITED","2019-10-01","Consumer Services",178000000
"MAG","MAGMATIC RESOURCES LIMITED","2017-05-19","Basic Industries",44963857
"MAH","MACMAHON HOLDINGS LIMITED","1983-12-01","Basic Industries",420222235
"MAI","MAINSTREAM GROUP HOLDINGS LIMITED","2015-10-01","Finance",388031326
"MAM","MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","2018-04-30","Finance",105527066
"MAN","MANDRAKE RESOURCES LIMITED","1987-05-29","Basic Industries",83467965
"MAQ","MACQUARIE TELECOM GROUP LIMITED","1999-09-27","Telecommunication Services",1066264939
"MAT","MATSA RESOURCES LIMITED","2005-04-20","Basic Industries",24633287
"MAU","MAGNETIC RESOURCES NL","2007-04-05","Basic Industries",327035235
"MAUCA","MAGNETIC RESOURCES NL","2007-04-05","Basic Industries",327035235
"MAX","MILLINIUM'S ALTERNATIVES FUND.","2006-12-20","Miscellaneous","N/A"
"MAY","MELBANA ENERGY LIMITED","1998-03-27","Energy",48653880
"MBH","MAGGIE BEER HOLDINGS LTD","2004-08-27","Food, Beverage & Tobacco",147239550
"MBK","METAL BANK LIMITED","2011-03-02","Basic Industries",11845083
